# These results are from BUFFER_LOW of 2048 and BUFFER_HIGH of 8192

Iperf 70.7 Gbits/s

packetSize kB/s    kbit/s
32	3509	28072

64	8727	69816

128	16517	132136

256	27282	218256

512	39222	313776

1024	57210	457680

2048	63159	505272

4096	68027	544216

8192	80488	643904

16384	89203	713624

32768	89019	712152

65536	97632	781056

131072	91832	734656

262144	95683	765464
